target,ids,date,flag,user,text,procesado,Polaridad,Subjetividad,palabras,Label_enc,nLabel,neg_scores,neu_scores,pos_scores,compound_scores,NOUN,PRON,VERB,ADJ,ADV
Positiva,1693560707.0,Sun May 03 22:57:32 PDT 2009,NO_QUERY,lexprigo,just ran a couple of miles .. feels good to run at 10 p.m near the water in belmont ,"['ran', 'couple', 'miles', 'feels', 'good', 'run', 'near', 'water', 'belmont']",0.4,0.5,19.0,2.0,1.0,0.0,0.734,0.266,0.4404,1.0,0.0,1.0,0.0,1.0
Neutral,1753798580.0,Sun May 10 03:30:30 PDT 2009,NO_QUERY,RetroGreeb,Wishes Her Mum Would Let Her Buy Two Hamsters As I Have Enough. ,"['wishes', 'mum', 'would', 'let', 'buy', 'two', 'hamsters', 'enough']",0.0,0.5,13.0,1.0,0.0,0.0,0.814,0.186,0.1531,2.0,1.0,4.0,1.0,1.0
Positiva,2044347056.0,Fri Jun 05 09:13:30 PDT 2009,NO_QUERY,RaqC,Up and running early! Headed 2 court 2 get a damn extention on this speeding tix I got! Noooooo rainy friday!!!  let's make it a great day,"['running', 'early', 'headed', 'court', 'get', 'damn', 'extention', 'speeding', 'tix', 'got', 'noooooo', 'rainy', 'friday', 'let', 'make', 'great', 'day']",0.45,0.525,27.0,2.0,1.0,0.181,0.633,0.186,0.2732,1.0,0.0,1.0,0.0,0.0
Positiva,2013088601.0,Tue Jun 02 21:53:43 PDT 2009,NO_QUERY,JessRiva,Is icing my shoulder and it's not fun in this weather. ,"['icing', 'shoulder', 'fun', 'weather']",0.3,0.2,11.0,2.0,1.0,0.0,0.476,0.524,0.5106,2.0,2.0,2.0,1.0,1.0
Positiva,1881610205.0,Fri May 22 05:07:13 PDT 2009,NO_QUERY,MJLOZ,@kyleandjackieo Thanks for posting that.  A lil crushed though....  ,"['thanks', 'posting', 'lil', 'crushed', 'though']",0.05,0.15000000000000002,9.0,2.0,1.0,0.322,0.345,0.333,0.0258,3.0,1.0,1.0,1.0,1.0
Negativa,1822323657.0,Sat May 16 19:18:39 PDT 2009,NO_QUERY,ReasonWhy214,@priscillaknarly no isnt stupid.....see ,"['isnt', 'stupid', 'see']",-0.7999999999999999,1.0,4.0,0.0,-1.0,0.0,0.419,0.581,0.4168,3.0,0.0,2.0,1.0,1.0
Positiva,1969594339.0,Sat May 30 00:33:03 PDT 2009,NO_QUERY,leechbabe,@Chiloe_  Winning the lottery would be fantastic ,"['winning', 'lottery', 'would', 'fantastic']",0.45,0.825,7.0,2.0,1.0,0.0,0.222,0.778,0.7906,2.0,1.0,2.0,1.0,0.0
Positiva,2177896649.0,Mon Jun 15 06:52:49 PDT 2009,NO_QUERY,abztract,not having any luck finding cheap flights to LA from NYC.  Everything is over $400.  ,"['luck', 'finding', 'cheap', 'flights', 'nyc', 'everything']",0.4,0.7,15.0,2.0,1.0,0.0,0.625,0.375,0.4588,1.0,1.0,2.0,0.0,1.0
Negativa,1676216492.0,Fri May 01 21:24:39 PDT 2009,NO_QUERY,TheRedgiester,@step_up_steph its fine. I don't know if ill get mine. They leave in 30 minutes &amp; it usually takes 45 minutes from where I'm standing at ,"['fine', 'know', 'ill', 'get', 'mine', 'leave', 'minutes', 'amp', 'usually', 'takes', 'minutes', 'standing']",-0.1111111111111111,0.5833333333333334,26.0,0.0,-1.0,0.27,0.608,0.122,-0.296,2.0,0.0,1.0,0.0,0.0
Positiva,1830924852.0,Sun May 17 17:51:31 PDT 2009,NO_QUERY,aka55,@jodikicksass  #whocangetit @jodikicksass there.  that was easy.  ,"['whocangetit', 'easy']",0.43333333333333335,0.8333333333333334,7.0,2.0,1.0,0.0,0.256,0.744,0.4404,2.0,1.0,3.0,0.0,0.0
Positiva,2048072672.0,Fri Jun 05 14:37:13 PDT 2009,NO_QUERY,krystyl,"For a low low price of $35,000.00 you too can have a hammock this cool! http://bit.ly/kUUI7  Im buying one as soon as I send this tweet ","['low', 'low', 'price', 'hammock', 'cool', 'buying', 'one', 'soon', 'send', 'tweet']",0.11666666666666665,0.4166666666666667,26.0,2.0,1.0,0.311,0.519,0.17,-0.2263,1.0,0.0,1.0,0.0,0.0
Positiva,1973090641.0,Sat May 30 10:28:03 PDT 2009,NO_QUERY,MrsMac8808,Peach flavored white tea not a good choice...making my tummy hurt ,"['peach', 'flavored', 'white', 'tea', 'good', 'choice', 'making', 'tummy', 'hurt']",0.35,0.30000000000000004,11.0,2.0,1.0,0.256,0.526,0.218,-0.128,2.0,1.0,1.0,1.0,0.0
Negativa,2061007073.0,Sat Jun 06 20:00:06 PDT 2009,NO_QUERY,ads4vt,@felicia__nicole sorry that one is blurry ,"['sorry', 'one', 'blurry']",-0.5,1.0,6.0,0.0,-1.0,0.73,0.27,0.0,-0.1779,2.0,2.0,3.0,2.0,0.0
Neutral,1966485578.0,Fri May 29 17:51:17 PDT 2009,NO_QUERY,ramendoodles,I need to learn the words to The Saga Begins so i can sing along with Miss American Pie comes on at work  all i currently know is the  ...,"['need', 'learn', 'words', 'saga', 'begins', 'sing', 'along', 'miss', 'american', 'pie', 'comes', 'work', 'currently', 'know']",0.0,0.2,30.0,1.0,0.0,0.11,0.89,0.0,-0.1531,3.0,1.0,2.0,0.0,1.0
Positiva,1979183763.0,Sun May 31 01:58:36 PDT 2009,NO_QUERY,FjordsEcho,@Stilfire okay.  have fun! I'll talk to you in a week. We're on our way to the airport. &lt;3,"['okay', 'fun', 'talk', 'week', 'way', 'airport']",0.4,0.35,19.0,2.0,1.0,0.0,0.435,0.565,0.6369,3.0,0.0,3.0,1.0,1.0
Positiva,1825304603.0,Sun May 17 05:11:40 PDT 2009,NO_QUERY,Beckie211,Cant wait for tonight. Off for a lovely chinese with my lovely boyfriend ,"['cant', 'wait', 'tonight', 'lovely', 'chinese', 'lovely', 'boyfriend']",0.3333333333333333,0.5,13.0,2.0,1.0,0.259,0.421,0.32,0.1847,1.0,2.0,2.0,1.0,1.0
Positiva,2048412860.0,Fri Jun 05 15:09:33 PDT 2009,NO_QUERY,trammiele,@teeCao lol tammy had it up while I tried signing in. Gchat/ aim works for me  How is the new job?,"['lol', 'tammy', 'tried', 'signing', 'aim', 'works', 'new', 'job']",0.4681818181818182,0.5772727272727273,21.0,2.0,1.0,0.0,0.714,0.286,0.4215,2.0,0.0,5.0,1.0,1.0
Positiva,1983596849.0,Sun May 31 13:27:46 PDT 2009,NO_QUERY,allora,@Gastro1 just checked out their site..the closest shop is in berlin  too far away,"['checked', 'site', 'close', 'shop', 'berlin', 'far', 'away']",0.1,1.0,14.0,2.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0
Positiva,1558823209.0,Sun Apr 19 09:30:06 PDT 2009,NO_QUERY,ohangie,@marieiris @fashionbitch Thanks girls!   Things are starting to look up!,"['thanks', 'girls', 'things', 'starting', 'look']",0.1,0.15000000000000002,10.0,2.0,1.0,0.0,0.58,0.42,0.4404,1.0,1.0,1.0,1.0,0.0
Negativa,2217968547.0,Wed Jun 17 21:40:13 PDT 2009,NO_QUERY,AmberSafa,"@zachflauaus when people make ridiculous statements like that in the name of a movement, it just undermines the movement ","['people', 'make', 'ridiculous', 'statements', 'like', 'name', 'movement', 'undermines', 'movement']",-0.3333333333333333,1.0,19.0,0.0,-1.0,0.366,0.448,0.187,-0.34,1.0,1.0,3.0,1.0,0.0
Negativa,1684849864.0,Sat May 02 22:14:18 PDT 2009,NO_QUERY,KBernice,PACQUIAO! Hatton got owned! Second round too! ,"['pacquiao', 'hatton', 'got', 'owned', 'second', 'round']",-0.1,0.2,7.0,0.0,-1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0
Negativa,1556698930.0,Sat Apr 18 23:56:07 PDT 2009,NO_QUERY,yyusuff,"@noreenramli Oh babe!! Drove past Pink Sage today,think we saw you but we left a different way so couldn't pop in to say hello ","['babe', 'drove', 'past', 'pink', 'sage', 'today', 'think', 'saw', 'left', 'different', 'way', 'could', 'pop', 'say', 'hello']",-0.0875,0.2875,24.0,0.0,-1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
Neutral,1986305144.0,Sun May 31 18:38:41 PDT 2009,NO_QUERY,kriistennnxx31,"robert, once again!  &lt;3",['robert'],0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0
Negativa,2066820884.0,Sun Jun 07 11:13:55 PDT 2009,NO_QUERY,Alica87,"@bubblything Dear, I'm so sorry, I forgot that you can't understand my german &quot;goodbye&quot;  How are you?","['dear', 'sorry', 'forgot', 'understand', 'german', 'quot', 'goodbye', 'quot']",-0.25,0.5,17.0,0.0,-1.0,0.131,0.606,0.263,0.3182,1.0,2.0,1.0,1.0,1.0
Positiva,1558476616.0,Sun Apr 19 08:29:41 PDT 2009,NO_QUERY,_mira_,Good morning tweeters ,"['good', 'morning', 'tweeters']",0.7,0.6000000000000001,3.0,2.0,1.0,0.0,0.408,0.592,0.4404,2.0,1.0,2.0,0.0,1.0
Positiva,2001701421.0,Tue Jun 02 01:46:30 PDT 2009,NO_QUERY,Rohan_01,@swatkatt sending u through direct msg.... lets see wat u got.... ,"['sending', 'direct', 'msg', 'lets', 'see', 'wat', 'got']",0.1,0.4,11.0,2.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,3.0,1.0,1.0
Negativa,2064673600.0,Sun Jun 07 06:53:31 PDT 2009,NO_QUERY,BettinaWagner,"@MisterSnoop My husband said it was crap, because babies also enjoy squeaky toys. I hope he is right! ","['husband', 'said', 'crap', 'babies', 'also', 'enjoy', 'squeaky', 'toys', 'hope', 'right']",-0.038095238095238106,0.6119047619047621,18.0,0.0,-1.0,0.166,0.446,0.389,0.5423,1.0,1.0,1.0,0.0,1.0
Neutral,2186037170.0,Mon Jun 15 18:15:56 PDT 2009,NO_QUERY,chiaw,"@sharonloh &quot;...In repentance and rest is your salvation, in quietness and trust is your strength...&quot; ~Isaiah 30:3 ","['quot', 'repentance', 'rest', 'salvation', 'quietness', 'trust', 'strength', 'quot']",0.0,0.0,17.0,1.0,0.0,0.0,0.48,0.52,0.7579,1.0,1.0,2.0,0.0,0.0
Neutral,2050041253.0,Fri Jun 05 17:57:43 PDT 2009,NO_QUERY,gab_iii,http://twitpic.com/6pmfw - @nerdbox here it is ,[],0.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,0.0,1.0
Positiva,2187832658.0,Mon Jun 15 20:52:32 PDT 2009,NO_QUERY,Wseries,"Safari 4 is becoming unusable with its constant crashing. Amazingly, it even dies when I try to view the store page on Apple's website. ","['safari', 'becoming', 'unusable', 'constant', 'crashing', 'amazingly', 'even', 'dies', 'try', 'view', 'store', 'page', 'apple', 'website']",0.35000000000000003,0.6944444444444445,24.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0
Neutral,2048840652.0,Fri Jun 05 15:51:47 PDT 2009,NO_QUERY,dagmaroon,@katherinemarsh why would you feel invisible? ,"['would', 'feel', 'invisible']",0.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0
Positiva,2239048257.0,Fri Jun 19 08:04:03 PDT 2009,NO_QUERY,alexalaimo,a week of rain is no fun ,"['week', 'rain', 'fun']",0.3,0.2,7.0,2.0,1.0,0.0,0.377,0.623,0.5106,2.0,1.0,3.0,0.0,1.0
Neutral,1992852793.0,Mon Jun 01 09:25:42 PDT 2009,NO_QUERY,HeatherShea,@swyyft Hey! I've been here...sorta. Going out a lot. Time to take a break and give the liver a bit of rest  How are you?? xo,"['hey', 'sorta', 'going', 'lot', 'time', 'take', 'break', 'give', 'liver', 'bit', 'rest']",0.0,0.0,26.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0
Positiva,2047600809.0,Fri Jun 05 13:53:50 PDT 2009,NO_QUERY,UberJedi,"@MKEYCKOR I'm sorry to hear that, it's certainly not pleasant outside... boo for all this rain ","['sorry', 'hear', 'certainly', 'pleasant', 'outside', 'boo', 'rain']",0.07777777777777778,0.6722222222222222,16.0,2.0,1.0,0.118,0.364,0.518,0.6597,2.0,0.0,2.0,1.0,2.0
Positiva,1691017012.0,Sun May 03 16:54:20 PDT 2009,NO_QUERY,KurikoH,@SonalMehta Thanks! I can't believe we won the second place!! Thanks for your support. ,"['thanks', 'believe', 'second', 'place', 'thanks', 'support']",0.13333333333333333,0.13333333333333333,14.0,2.0,1.0,0.0,0.261,0.739,0.8176,3.0,1.0,2.0,1.0,1.0
Positiva,1956193637.0,Thu May 28 21:22:17 PDT 2009,NO_QUERY,BringBackL0ve,http://twitpic.com/65xyd - I was so darn cute! ,"['darn', 'cute']",0.5,1.0,7.0,2.0,1.0,0.0,0.25,0.75,0.4588,3.0,0.0,2.0,0.0,0.0
Positiva,2256100987.0,Sat Jun 20 12:15:42 PDT 2009,NO_QUERY,filmnoirgirl,"@hollyalyxfinch Yep! Just ate pizza too, i'm eating junk in general to be fair  I'll regret it later lol","['yep', 'ate', 'pizza', 'eating', 'junk', 'general', 'fair', 'regret', 'late', 'lol']",0.3125,0.675,19.0,2.0,1.0,0.174,0.373,0.453,0.5423,2.0,2.0,3.0,0.0,1.0
Negativa,1971290648.0,Sat May 30 06:44:24 PDT 2009,NO_QUERY,JRDM,@jdm79 a year tomorrow though - can't wait   Maybe we should have a little celebration tonight though for it being 52 weeks?!?,"['year', 'tomorrow', 'though', 'wait', 'maybe', 'little', 'celebration', 'tonight', 'though', 'weeks']",-0.1875,0.5,22.0,0.0,-1.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,2.0,1.0
Neutral,2068119100.0,Sun Jun 07 13:31:52 PDT 2009,NO_QUERY,bellahbee,I just got told I look like a boy ,"['got', 'told', 'look', 'like', 'boy']",0.0,0.0,9.0,1.0,0.0,0.0,0.615,0.385,0.3612,2.0,1.0,2.0,1.0,0.0
Positiva,1553177174.0,Sat Apr 18 13:34:27 PDT 2009,NO_QUERY,xashleyx3,@xDorkiexLovatox becuase i just am  LOL n i watched the new icarly when sam is a girly girl xD,"['becuase', 'lol', 'watched', 'new', 'icarly', 'sam', 'girly', 'girl']",0.4681818181818182,0.5772727272727273,19.0,2.0,1.0,0.0,0.714,0.286,0.4215,1.0,0.0,1.0,1.0,0.0
Negativa,2256166941.0,Sat Jun 20 12:21:43 PDT 2009,NO_QUERY,Lydiajohn13,"@MiSSHOLLYWOOD14 Sorry to hear, you have a stomach ache. ","['sorry', 'hear', 'stomach', 'ache']",-0.5,1.0,9.0,0.0,-1.0,0.661,0.339,0.0,-0.4404,2.0,0.0,3.0,1.0,2.0
Negativa,1974001106.0,Sat May 30 12:14:46 PDT 2009,NO_QUERY,Sam_Fenton,@littlenaDdi  oh i 've got to go..i promise i'll see it later..thnx ,"['got', 'promise', 'see', 'late', 'thnx']",-0.3,0.6,12.0,0.0,-1.0,0.0,0.635,0.365,0.3182,1.0,0.0,1.0,1.0,0.0
Negativa,2252225723.0,Sat Jun 20 05:46:33 PDT 2009,NO_QUERY,exsanguinator,@pigsonthewing now I really am in the wrong building! all I have is a small bag o nik-naks!   #saturdayworkfail,"['really', 'wrong', 'building', 'small', 'bag', 'saturdayworkfail']",-0.375,0.65,19.0,0.0,-1.0,0.404,0.596,0.0,-0.5256,2.0,0.0,1.0,1.0,0.0
Neutral,1834373095.0,Mon May 18 02:41:08 PDT 2009,NO_QUERY,Tish019,@CabreraNina Imyyy. youre grounded eh. ,"['imyyy', 'youre', 'grounded']",0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0
Neutral,2068791620.0,Sun Jun 07 14:42:23 PDT 2009,NO_QUERY,dalejrfan2007,"just got done mowing, have 2 write a paper now ","['got', 'done', 'mowing', 'write', 'paper']",0.0,0.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
Neutral,1932621409.0,Tue May 26 21:51:00 PDT 2009,NO_QUERY,couture,http://twitpic.com/61dqh - Awwww! Beauty &amp; the beast ,"['beauty', 'amp', 'beast']",0.0,0.0,7.0,1.0,0.0,0.0,0.345,0.655,0.5859,1.0,1.0,2.0,1.0,1.0
Neutral,2067350351.0,Sun Jun 07 12:11:25 PDT 2009,NO_QUERY,KiD_SolO_,"@taylorgese u said, &quot;uh,   &quot; txt me wat that meant","['said', 'quot', 'quot', 'txt', 'wat', 'meant']",0.0,0.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0
Positiva,2236350024.0,Fri Jun 19 03:29:10 PDT 2009,NO_QUERY,intobattle,@horse31 AW. Trap Door is awesome. I want to watch it again. ,"['trap', 'door', 'awesome', 'want', 'watch']",1.0,1.0,12.0,2.0,1.0,0.237,0.206,0.557,0.4767,2.0,0.0,2.0,1.0,1.0
Positiva,2015074697.0,Wed Jun 03 03:37:16 PDT 2009,NO_QUERY,Loughlinbowe,"@lilyroseallen You should really get some sleep, staying up never works ","['really', 'get', 'sleep', 'staying', 'never', 'works']",0.2,0.2,11.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0
Neutral,2001344520.0,Tue Jun 02 00:34:50 PDT 2009,NO_QUERY,flyddw,@GimliGlider - thought maybe you were just in &quot;a state of being&quot;  ,"['thought', 'maybe', 'quot', 'state', 'quot']",0.0,0.0,12.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,4.0,1.0,2.0
Positiva,1964398373.0,Fri May 29 14:10:23 PDT 2009,NO_QUERY,Shazzy9,@mileycyrus &lt; i love Demii also... fab actress ,"['love', 'demii', 'also', 'fab', 'actress']",0.5,0.6,8.0,2.0,1.0,0.0,0.294,0.706,0.802,2.0,0.0,0.0,0.0,0.0
Neutral,2212241313.0,Wed Jun 17 13:51:09 PDT 2009,NO_QUERY,xLucyLoox,@BeckyC3 ok.  Alan morning Food last. I should be here when you get back,"['alan', 'morning', 'food', 'last', 'get', 'back']",0.0,0.03333333333333333,14.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0
Positiva,1836135728.0,Mon May 18 07:26:27 PDT 2009,NO_QUERY,angelidy,@vivspace I am so happy for the 5 kids going there this morning! I am just as excited to ride the rides and squeal ,"['happy', 'kids', 'going', 'morning', 'excited', 'ride', 'rides', 'squeal']",0.5875,0.875,24.0,2.0,1.0,0.0,0.496,0.504,0.7269,0.0,1.0,1.0,1.0,0.0
Positiva,1978210373.0,Sat May 30 22:43:23 PDT 2009,NO_QUERY,DreadFullFuFu,"@Fee_de_la_Nuit like your gargoyle naming, eh?  loved that in your post. You write as though you're talking to a dear friend. Love it!","['like', 'gargoyle', 'naming', 'loved', 'post', 'write', 'though', 'talking', 'dear', 'friend', 'love']",0.6,0.7,23.0,2.0,1.0,0.0,0.268,0.732,0.9468,2.0,0.0,1.0,0.0,1.0
Neutral,2054495126.0,Sat Jun 06 07:28:43 PDT 2009,NO_QUERY,jerzicua,@phylicia2214 i dont think you did  ,"['dont', 'think']",0.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0
Negativa,2247495407.0,Fri Jun 19 19:10:57 PDT 2009,NO_QUERY,beckiskiss,WHAT?! ash-a-saur-us..now you have really done it!!! Then i'm going clubbing WITH OUT YOU!  how rude!,"['really', 'done', 'going', 'clubbing', 'rude']",-0.04999999999999999,0.4,16.0,0.0,-1.0,0.429,0.571,0.0,-0.4588,3.0,1.0,2.0,1.0,1.0
Neutral,1981493173.0,Sun May 31 09:16:07 PDT 2009,NO_QUERY,fluffygodzilla,@NeonBlueTornado hi didnt talk to u today  anyways bye i g2g bed my moms screaming at me in chinese and a mosquitos eating me ,"['didnt', 'talk', 'today', 'anyways', 'bye', 'bed', 'moms', 'screaming', 'chinese', 'mosquitos', 'eating']",0.0,0.0,24.0,1.0,0.0,0.206,0.794,0.0,-0.3818,1.0,0.0,0.0,1.0,0.0
Positiva,1468625624.0,Tue Apr 07 02:48:29 PDT 2009,NO_QUERY,suzi_q,@moodleman http://twitpic.com/2taqx - this is great.. thanks  links perfectly with the look into connectivism I had with Syephen Downes,"['great', 'thanks', 'links', 'perfectly', 'look', 'connectivism', 'syephen', 'downes']",0.6666666666666666,0.65,19.0,2.0,1.0,0.0,0.309,0.691,0.9042,1.0,0.0,1.0,0.0,0.0
Neutral,1976838139.0,Sat May 30 19:14:38 PDT 2009,NO_QUERY,LadyProducHer,@DvineExpression I wish we had a place that delivered calamari... ,"['wish', 'place', 'delivered', 'calamari']",0.0,0.0,10.0,1.0,0.0,0.0,0.526,0.474,0.4019,3.0,2.0,3.0,1.0,1.0
Positiva,1963329928.0,Fri May 29 12:33:35 PDT 2009,NO_QUERY,MarkSedney,"@mystiquetur well, that's an interesting question. 5 is the #numberoflanguagesispeak  Who speaks more?","['well', 'interesting', 'question', 'numberoflanguagesispeak', 'speaks']",0.5,0.5,13.0,2.0,1.0,0.0,0.385,0.615,0.5859,2.0,1.0,2.0,1.0,0.0
Positiva,2191753539.0,Tue Jun 16 05:54:30 PDT 2009,NO_QUERY,hanna_C,"Police scene, chalk line, Tequila shots,In the dark scene of the crime. &lt;&lt;&lt;&lt; I've listened to Dammed if I do Ya too much. gad damn ","['police', 'scene', 'chalk', 'line', 'tequila', 'shots', 'dark', 'scene', 'crime', 'listened', 'dammed', 'much', 'gad', 'damn']",0.02500000000000001,0.30000000000000004,25.0,2.0,1.0,0.341,0.659,0.0,-0.7351,2.0,1.0,4.0,1.0,1.0
Negativa,1994752249.0,Mon Jun 01 12:24:12 PDT 2009,NO_QUERY,nixabands,"Last day in Hawaii.   Breakfast at Hard Rock this morning. Some free time to sneak in a little sand, shopping (and packing).","['last', 'day', 'hawaii', 'breakfast', 'hard', 'rock', 'morning', 'free', 'time', 'sneak', 'little', 'sand', 'shopping', 'packing']",-0.019791666666666662,0.4770833333333333,22.0,0.0,-1.0,0.084,0.719,0.198,0.4404,2.0,0.0,2.0,1.0,0.0
Positiva,1754096877.0,Sun May 10 04:57:51 PDT 2009,NO_QUERY,ace112,I'm enjoying the sunny day ,"['enjoying', 'sunny', 'day']",0.5,0.6,5.0,2.0,1.0,0.0,0.139,0.861,0.7351,2.0,0.0,1.0,0.0,1.0
Negativa,2182050051.0,Mon Jun 15 12:39:12 PDT 2009,NO_QUERY,drachin8,@pauljessup 'tis very sad. ,['sad'],-0.5,1.0,4.0,0.0,-1.0,1.0,0.0,0.0,-0.4767,1.0,1.0,3.0,0.0,0.0
Positiva,2001810330.0,Tue Jun 02 02:09:05 PDT 2009,NO_QUERY,IanQuigley,@juliedeb How's your weekend? I see you have a new God now ,"['weekend', 'see', 'new', 'god']",0.13636363636363635,0.4545454545454545,12.0,2.0,1.0,0.0,0.588,0.412,0.2732,2.0,1.0,3.0,1.0,0.0
Positiva,1972649289.0,Sat May 30 09:37:25 PDT 2009,NO_QUERY,mackenzie834,@foxappeal so much for Ubuntu. ,"['much', 'ubuntu']",0.2,0.2,5.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Positiva,1998708973.0,Mon Jun 01 18:59:57 PDT 2009,NO_QUERY,kellygirl3,@ashleykohn  Aww thanks ashley! I appreciate that. . i just really liked him! ,"['aww', 'thanks', 'ashley', 'appreciate', 'really', 'liked']",0.3666666666666667,0.6333333333333334,13.0,2.0,1.0,0.0,0.257,0.743,0.8268,2.0,0.0,0.0,0.0,0.0
